sample_id,mse,ssim,psnr,pixcorr,fid,clip_similarity
0,0.1783987134695053,0.15473879584662562,13.50668297039378,0.64014626,0.019899856,0.90553796
1,0.16108469665050507,0.25641331022359,13.950057249602237,0.60136265,0.0065537007,0.9065208
2,0.21341075003147125,0.11517201155046008,12.728436744057712,0.5540909,0.019911705,0.889137
3,0.026469824835658073,0.8079258394831684,21.7930894222328,0.97267115,0.003075896,0.9873634
4,0.1203446090221405,0.6254149824063379,15.216333574592465,0.84205216,0.00180065,0.93011004
5,0.3628782033920288,0.11605664481119539,10.422991270736567,0.43031576,0.039440654,0.7719522
6,0.13207171857357025,0.5719286750853908,14.812501750351029,0.8248091,0.0038995305,0.92278606
7,0.4363263249397278,0.04126607133739451,9.622485445776213,0.27349627,0.025446668,0.7199633
8,0.2035459727048874,0.19348545132021727,12.9339744853983,0.5723255,0.01897372,0.88373417
9,0.2440386265516281,0.09070101859108096,12.146014461468514,0.33150846,0.008871619,0.85755616
10,0.302295982837677,0.15113468437744468,11.216276247464485,0.52929664,0.034415446,0.81252664
11,0.2263038009405136,0.07758308424259594,12.473681291730099,0.28057107,0.0045803497,0.8672179
12,0.17035917937755585,0.2597467409473775,13.706944282547449,0.6777244,0.017464517,0.90827775
13,0.18694254755973816,0.14403308709014792,13.30351817835204,0.41246098,0.010760846,0.8958257
14,0.1874779611825943,0.14105683897981758,13.291097541553267,0.61307853,0.019366916,0.90127146
15,0.21106326580047607,0.18843831529639746,12.776473167862807,0.558597,0.015434505,0.8810537
16,0.16300685703754425,0.22383241510607518,13.898541647203677,0.5839044,0.013484557,0.90780014
17,0.1693871021270752,0.20701333398900423,13.731796660269708,0.5767708,0.014418083,0.906192
18,0.48837411403656006,0.018125191098883348,9.133073446513594,0.07215427,0.0006582695,0.72815704
19,0.22403518855571747,0.09748979650167479,12.517437511010316,0.5139602,0.018282367,0.8801249
20,0.30976253747940063,0.1422945247262354,11.110311054681379,0.5049279,0.032882582,0.80737394
21,0.15121786296367645,0.2456453673797467,14.224568431241675,0.62167674,0.013389051,0.9144667
22,0.21909432113170624,0.27587519059781984,12.614288815326933,0.58260655,0.00313047,0.86993116
23,0.023987872526049614,0.8329036478049406,22.22068277247615,0.9909972,0.004561152,0.9961403
24,0.22804057598114014,0.09200105156419001,12.440478193864967,0.50096035,0.018992819,0.87779063
25,0.21712854504585266,0.16601244847144458,12.653430653689572,0.54267013,0.017528797,0.878227
26,0.22414854168891907,0.16364160161511107,12.515240742315964,0.5252348,0.018548021,0.87256455
27,0.2557770013809204,0.27630311729143997,11.941985191294437,0.5644088,0.02733385,0.84266406
28,0.5431873798370361,0.02810280596297015,8.671103100358339,0.107326455,0.00065159827,0.6894509
29,0.24153752624988556,0.24784978600144328,12.190754083798582,0.7076942,0.035078883,0.8564071
30,0.24603544175624847,0.09054238723884053,12.11062344662043,0.44365805,0.0142577095,0.8621617
31,0.1859319508075714,0.14184789604811412,13.327060007517122,0.6211741,0.019893488,0.90271115
32,0.2055635303258896,0.20986642513336606,12.891139473191656,0.54825616,0.017401,0.87867355
33,0.171762153506279,0.19494537123067826,13.671325486726936,0.47393632,0.010705421,0.9060298
34,0.12113641947507858,0.3330002945928326,15.187852616698642,0.666044,0.010512289,0.9382862
35,0.2745726406574249,0.18021948192995485,11.634027198433493,0.40508628,0.01871354,0.83329177
36,0.1689406782388687,0.2696135296004782,13.743257161756294,0.6759304,0.018850025,0.9049371
37,0.2515818178653717,0.2287944297777433,12.013807233971567,0.66095006,0.031226084,0.8498891
38,0.2736668884754181,0.14839731079869237,11.648377338186524,0.40343836,0.02207082,0.8320423
39,0.1755915731191635,0.20774444374222162,13.575563592507693,0.5729811,0.013231919,0.9034373
40,0.19480296969413757,0.22248609215125162,13.124644216941302,0.4810995,0.0085484935,0.88454217
41,0.2406333088874817,0.13659469110286054,12.207042598498356,0.43571436,0.0048947437,0.8541059
42,0.202755406498909,0.20409141896133337,12.950875627434746,0.5906303,0.01900105,0.88940215
43,0.5276436805725098,0.03450999240033352,8.797192622907628,0.19867301,0.006976761,0.6869966
44,0.18227876722812653,0.1494534644827416,13.413238965249546,0.6345005,0.019662464,0.90537816
45,0.1885162591934204,0.21919221305629924,13.267111661250262,0.61492586,0.018189842,0.89241827
46,0.06486476957798004,0.693636886289147,17.900510945940084,0.9189064,0.006918518,0.9673908
47,0.3257733881473541,0.04613885832907178,10.891443909530974,0.223495,0.022009114,0.79721165
48,0.18325380980968475,0.23013347250213154,13.390069902050561,0.63464355,0.018286524,0.8985461
49,0.2898809611797333,0.11570415278164403,11.398403178610785,0.34404588,0.021839038,0.82029915
50,0.2499939650297165,0.25569532895537694,12.041304626128573,0.6725787,0.033324685,0.84882396
51,0.20987606048583984,0.1153092715876708,12.800970948817735,0.5551192,0.01869899,0.88943785
52,0.292706161737442,0.21016107829122166,11.356281531632462,0.4574306,0.02560755,0.81689286
