metric,mean,std,min,max
mse,0.2960962572923073,0.05078539536986173,0.18900050222873688,0.4496912956237793
ssim,0.2763376794971355,0.06755849249363564,0.11489738918533492,0.3922348951541796
psnr,11.366346105435623,0.7370971406832004,9.491455392457128,13.255970488798132
pixcorr,0.44035565853118896,0.1329077184200287,0.12089943140745163,0.6934774518013
fid,0.048475511372089386,0.013656827621161938,0.009207837283611298,0.06334266066551208
clip_similarity,0.8939107656478882,0.05231374874711037,0.7059740424156189,0.9509415030479431
