sample_id,mse,ssim,psnr,pixcorr,fid,clip_similarity
0,0.11503196507692337,0.4573732356209893,15.414116278860291,0.82563716,0.0068995478,0.94030976
1,0.13826167583465576,0.5217624094875044,14.61431657301732,0.8148565,0.005413113,0.9214996
2,0.18909528851509094,0.45186990860119375,13.254891189293822,0.75371015,0.006620811,0.8862374
3,0.2183273881673813,0.37508232220526894,12.632896356915692,0.77614325,0.016642056,0.8870908
4,0.14251022040843964,0.4086181422790706,14.483915829272805,0.8073273,0.013361481,0.9208092
5,0.21984170377254486,0.2816227978850939,12.599962599175552,0.64678204,0.021380147,0.8913954
6,0.11381407827138901,0.43831645042158296,15.459489422651025,0.88691163,0.012622267,0.9545626
7,0.2121501863002777,0.32763425191040535,12.755534741892545,0.73623145,0.018925143,0.89285123
8,0.16780421137809753,0.3683461212468418,13.773056901538538,0.79129213,0.017856326,0.92285913
9,0.19956907629966736,0.4875257359446601,13.020401950613161,0.78998196,0.009336562,0.88146716
